Périmètre;Nature;Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2;Ech. comm. Angleterre;Ech. comm. Espagne;Ech. comm. Italie;Ech. comm. Suisse;Ech. comm. Allemagne-Belgique;Fioul - TAC;Fioul - Cogén.;Fioul - Autres;Gaz - TAC;Gaz - Cogén.;Gaz - CCG;Gaz - Autres;Hydraulique - Fil de l?eau + éclusée;Hydraulique - Lacs;Hydraulique - STEP turbinage;Bioénergies - Déchets;Bioénergies - Biomasse;Bioénergies - Biogaz; Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;Consommation corrigée
France;Données temps réel;05/01/2023;00:00;52607;53500;52800;204;49;2735;41063;11356;0;4686;-2941;807;-5352;31;-1558;-3200;-3820;-3700;8090;2;22;180;0;2114;622;0;4431;255;0;133;417;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;00:15;52623;52650;52050;204;52;2748;41300;11204;0;4160;-3244;820;-4621;31;;;;;;2;22;180;0;2112;637;0;4257;0;0;135;419;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;00:30;51125;51800;51300;203;52;2541;40456;11063;0;4058;-3374;805;-4679;30;-1558;-3200;-3820;-3700;8090;1;22;180;0;2112;431;0;4165;0;0;136;422;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;00:45;49872;50950;50250;202;52;2557;39806;10883;0;3887;-3475;808;-4848;31;;;;;;0;22;180;0;2112;446;0;3933;0;0;136;420;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;01:00;49060;50100;49200;200;52;2472;39384;10806;0;3963;-3607;824;-5034;31;-1923;-3200;-3820;-3691;8375;0;22;180;0;2113;361;0;3974;0;0;137;420;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;01:15;49814;50450;49700;200;52;2663;39252;10637;0;3773;-3562;819;-4020;33;;;;;;0;22;180;0;2114;551;0;3825;0;0;138;422;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;01:30;49277;50800;50200;200;52;2713;38958;10376;0;3714;-3531;814;-4019;33;-1923;-3200;-3820;-3691;8375;0;22;180;0;2114;601;0;3792;0;0;139;422;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;01:45;49633;50650;50200;200;52;2734;38968;10331;0;3706;-3464;809;-3703;33;;;;;;0;22;180;0;2114;621;0;3747;0;0;136;418;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;02:00;49105;50500;50200;200;53;2639;38733;10180;0;3684;-3482;811;-3713;33;-1924;-3146;-3781;-3700;8239;0;22;180;0;2115;526;0;3697;0;4;142;416;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;02:15;49686;50100;49650;200;53;2806;39299;10031;0;3639;-3475;814;-3681;34;;;;;;0;22;180;0;2114;693;0;3619;20;0;137;419;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;02:30;48798;49700;49100;200;53;2748;39007;9837;0;3656;-3506;806;-4003;34;-1924;-3146;-3781;-3700;8239;0;22;180;0;2115;634;0;3542;114;0;135;419;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;02:45;48138;49000;48400;200;52;2653;38761;9671;0;3644;-3531;807;-4119;33;;;;;;0;22;180;0;2114;540;0;3545;99;0;134;419;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;03:00;47265;48300;47700;200;53;2635;38891;9414;0;3623;-3518;814;-4847;33;-2253;-3100;-3742;-3700;7722;0;22;180;0;2115;521;0;3565;58;0;136;417;257;ND;ND;ND;ND;ND
France;Données temps réel;05/01/2023;03:15;46867;47750;47100;200;53;2766;39027;9217;0;3489;-3509;821;-5197;34;;;;;;0;22;180;0;2117;651;0;3522;0;0;141;420;257;ND;ND;ND;ND;ND
