Périmètre;Nature;Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2;Ech. comm. Angleterre;Ech. comm. Espagne;Ech. comm. Italie;Ech. comm. Suisse;Ech. comm. Allemagne-Belgique;Fioul - TAC;Fioul - Cogén.;Fioul - Autres;Gaz - TAC;Gaz - Cogén.;Gaz - CCG;Gaz - Autres;Hydraulique - Fil de l?eau + éclusée;Hydraulique - Lacs;Hydraulique - STEP turbinage;Bioénergies - Déchets;Bioénergies - Biomasse;Bioénergies - Biogaz; Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;Consommation corrigée
France;Données temps réel;06/01/2023;00:00;52379;53400;52600;203;40;4406;42032;6039;0;5608;-36;700;-6613;41;1714;-1619;-3138;-3661;1219;1;22;180;0;2160;2248;0;5146;460;2;134;310;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;00:15;52135;52600;51750;204;39;3640;42090;5965;0;4996;-45;701;-5455;36;;;;;;2;22;180;0;2161;1481;0;4782;212;2;128;310;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;00:30;50655;51800;50900;203;40;2960;41601;6189;0;4874;-260;685;-5637;32;1714;-1619;-3138;-3661;1785;1;22;180;0;2166;795;0;4671;202;1;130;308;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;00:45;49261;50800;50000;203;40;2626;41540;6190;0;4698;-1471;699;-5264;31;;;;;;1;22;180;0;2163;465;0;4450;248;0;137;308;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;01:00;48935;49800;49100;200;40;2576;41521;6256;0;4718;-2209;704;-4871;31;2296;-1290;-2952;-3700;1680;0;22;180;0;2160;418;0;4475;243;0;134;312;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;01:15;49463;50250;49350;200;38;2697;41400;6401;0;4418;-2217;708;-4182;32;;;;;;0;22;180;0;2169;529;0;4363;55;0;135;314;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;01:30;49049;50700;49600;200;38;2689;40974;6486;0;4383;-2219;698;-4200;32;2296;-1290;-2952;-3700;1793;0;22;180;0;2166;524;0;4309;74;0;133;310;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;01:45;49304;50800;49800;200;38;2607;41195;6605;0;4278;-2217;702;-4104;31;;;;;;0;22;180;0;2165;444;0;4220;58;0;131;313;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;02:00;49081;50900;50000;200;38;2504;41175;6661;0;4283;-2531;709;-3958;30;1554;-495;-3187;-3700;2590;0;22;180;0;2169;336;0;4238;45;0;133;315;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;02:15;49408;50200;49350;200;38;2639;41196;6699;0;4108;-2572;704;-3604;31;;;;;;0;22;180;0;2164;476;0;4073;35;0;132;314;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;02:30;48543;49500;48700;199;38;2543;40902;6690;0;4020;-2594;699;-3954;31;1554;-495;-3187;-3700;2584;0;22;180;0;2165;379;0;3993;27;0;130;310;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;02:45;47866;48800;48000;200;38;2588;40210;6577;0;3940;-2673;704;-3718;32;;;;;;0;22;180;0;2163;426;0;3989;0;0;136;313;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;03:00;47068;48100;47300;204;39;2548;40050;6743;0;3953;-2692;708;-4485;32;1991;-749;-3187;-3700;-222;2;22;180;0;2165;384;0;3977;0;0;136;314;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;03:15;46920;47550;46950;204;39;2798;40606;6743;0;3966;-2626;708;-5518;33;;;;;;2;22;180;0;2167;633;0;3960;6;0;134;315;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;03:30;46458;47000;46600;204;38;2881;40461;6868;0;4032;-3076;703;-5653;34;1991;-749;-3187;-3700;-235;2;22;180;0;2166;716;0;3973;59;0;135;313;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;03:45;45919;46600;46300;204;38;2729;40268;6821;0;3957;-3099;700;-5699;33;;;;;;2;22;180;0;2165;565;0;3930;27;0;133;312;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;04:00;45767;46200;46000;204;38;2638;40101;6831;0;3945;-3116;706;-5580;33;2054;-1595;-3187;-3700;-414;2;22;180;0;2165;475;0;3923;22;0;137;313;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;04:15;45611;46050;45750;203;39;2721;40783;6945;0;3943;-3032;708;-6699;33;;;;;;1;22;180;0;2166;557;0;3917;26;0;142;310;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;04:30;45531;45900;45500;203;40;2661;40763;7027;0;3909;-3364;697;-6405;32;2054;-1595;-3187;-3700;-414;1;22;180;0;2167;496;0;3906;3;0;133;309;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;04:45;45626;46350;45800;204;39;2667;40858;7083;0;3925;-3349;703;-6504;32;;;;;;2;22;180;0;2166;503;0;3909;16;0;139;307;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;05:00;45951;46800;46100;203;40;2630;40699;7076;0;3925;-3369;695;-5948;32;2035;360;-3187;-3700;170;1;22;180;0;2167;464;0;3906;19;0;133;306;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;05:15;46949;47700;46850;204;38;2665;40592;7047;0;3941;-3439;704;-4803;33;;;;;;2;22;180;0;2163;504;0;3904;37;0;141;308;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;05:30;47398;48600;47600;204;38;2648;40721;7065;0;4004;-3425;706;-4563;32;2035;360;-3187;-3700;170;2;22;180;0;2166;483;0;3945;59;0;139;308;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;05:45;48226;49550;48400;204;39;2665;40912;7091;0;4127;-3409;709;-4112;32;;;;;;2;22;180;0;2165;501;0;4032;95;0;142;310;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;06:00;49025;50500;49200;203;39;2732;40518;6915;0;4175;-3412;688;-2833;33;1217;1668;-3158;-3684;2761;1;22;180;0;2165;568;0;3995;180;0;139;303;257;ND;ND;ND;ND;ND
France;Données temps réel;06/01/2023;06:15;51032;52250;50700;204;39;2762;40460;6852;0;4326;-3200;703;-1114;33;;;;;;2;22;180;0;2167;596;0;4114;212;0;138;306;257;ND;ND;ND;ND;ND
