Périmètre;Nature;Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2;Ech. comm. Angleterre;Ech. comm. Espagne;Ech. comm. Italie;Ech. comm. Suisse;Ech. comm. Allemagne-Belgique;Fioul - TAC;Fioul - Cogén.;Fioul - Autres;Gaz - TAC;Gaz - Cogén.;Gaz - CCG;Gaz - Autres;Hydraulique - Fil de l?eau + éclusée;Hydraulique - Lacs;Hydraulique - STEP turbinage;Bioénergies - Déchets;Bioénergies - Biomasse;Bioénergies - Biogaz; Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;Consommation corrigée
France;Données temps réel;03/01/2023;00:00;51167;52300;51300;203;44;2951;40867;3861;0;6025;-885;802;-2701;35;-2421;-981;-1701;-2043;3622;1;22;180;0;2088;865;0;5094;456;475;119;427;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;00:15;50944;51500;50500;202;40;3330;41093;3829;0;6268;-891;811;-3738;37;;;;;;1;21;180;0;2088;1244;0;4966;561;741;117;429;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;00:30;49580;50700;49700;203;42;3281;41077;3820;0;5362;-1123;808;-3890;37;-2421;-981;-1701;-2043;3520;2;21;180;0;2091;1192;0;4934;172;256;119;429;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;00:45;48251;49950;48900;202;41;2916;40704;3805;0;5159;-1339;800;-4037;35;;;;;;1;21;180;0;2090;827;0;4849;181;129;122;430;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;01:00;47923;49200;48100;199;40;2928;40671;3891;0;5145;-1337;804;-4418;35;-2453;-1080;-1585;-1700;2679;0;21;180;0;2091;838;0;4830;202;113;121;429;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;01:15;48342;49500;48500;199;40;3126;41038;4007;0;5085;-1332;816;-4637;37;;;;;;0;21;180;0;2093;1034;0;4819;60;206;122;430;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;01:30;48033;49800;48900;199;40;3006;40845;4104;0;4916;-1334;810;-4553;36;-2453;-1080;-1585;-1700;2729;0;21;180;0;2094;913;0;4837;79;0;122;431;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;01:45;48413;50000;48800;199;40;3054;40735;4197;0;5019;-1289;798;-4340;36;;;;;;0;21;180;0;2094;961;0;4885;134;0;119;428;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;02:00;48123;50200;48700;199;40;3148;40815;4242;0;5097;-1273;805;-4950;37;-2250;431;-1429;-2160;-318;0;21;180;0;2093;1056;0;4899;198;0;120;425;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;02:15;48730;49750;48350;199;40;3605;41295;4254;0;5133;-1279;809;-5326;40;;;;;;0;21;180;0;2093;1513;0;4856;222;55;121;427;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;02:30;47739;49300;48000;199;40;3505;41085;4220;0;5123;-1962;801;-5272;39;-2250;431;-1429;-2160;-520;0;21;180;0;2094;1413;0;4848;228;47;118;427;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;02:45;47232;48600;47350;199;41;3536;41015;4221;0;5007;-1966;800;-5621;40;;;;;;0;21;180;0;2093;1445;0;4762;197;48;119;427;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;03:00;46512;47900;46700;199;39;3486;41002;4324;0;4994;-1863;799;-6468;39;-1915;798;-1924;-2783;-885;0;21;180;0;2095;1392;0;4764;184;46;119;423;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;03:15;46287;47450;46200;199;39;3439;41126;4335;0;4809;-1910;802;-6552;39;;;;;;0;21;180;0;2095;1345;0;4640;122;47;120;426;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;03:30;45567;47000;45700;199;40;3330;41078;4394;0;4743;-2144;799;-6872;38;-1915;798;-1924;-2783;-1288;0;21;180;0;2095;1236;0;4616;82;45;121;424;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;03:45;45257;46850;45450;199;39;3336;41068;4455;0;4732;-2637;801;-6736;39;;;;;;0;21;180;0;2094;1244;0;4604;128;0;118;426;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;04:00;45073;46700;45200;199;39;3375;41031;4475;0;4777;-2315;799;-7307;39;-1321;1156;-2546;-3029;-2174;0;21;180;0;2094;1282;0;4638;133;6;118;425;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;04:15;44933;46650;45050;199;39;3453;41131;4479;0;4772;-2392;800;-7548;39;;;;;;0;21;180;0;2095;1359;0;4626;144;2;118;425;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;04:30;44723;46600;44900;199;39;3386;41199;4508;0;4782;-2394;785;-7781;39;-1321;1156;-2546;-3029;-2595;0;21;180;0;2095;1292;0;4633;147;2;119;409;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;04:45;44672;46800;45300;199;39;3548;41308;4511;0;4798;-2375;795;-8151;40;;;;;;0;21;180;0;2099;1450;0;4646;150;2;122;414;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;05:00;45441;47000;45700;199;40;3511;40987;4446;0;4868;-2401;796;-7005;40;-193;2077;-2788;-2805;-2710;0;21;180;0;2097;1416;0;4633;233;2;118;425;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;05:15;46642;47750;46550;199;39;3660;41133;4380;0;5133;-2118;802;-6586;40;;;;;;0;21;180;0;2096;1565;0;4712;420;1;118;427;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;05:30;47201;48500;47400;199;39;3724;41180;4462;0;5320;-1909;805;-6619;41;-193;2077;-2788;-2805;-2972;0;21;180;0;2100;1625;0;4782;536;2;115;430;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;05:45;47832;49450;48450;199;39;3775;41394;4517;0;5510;-1417;806;-6991;40;;;;;;0;21;180;0;2097;1679;0;4872;637;1;116;432;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;06:00;49006;50400;49500;199;39;3866;41187;4592;0;5525;-1109;792;-6085;41;1206;2590;-2933;-2337;-3365;0;21;180;0;2138;1730;0;4864;607;54;113;432;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;06:15;51044;52350;51000;199;39;3983;41293;4546;0;5694;-346;806;-5170;41;;;;;;0;21;180;0;2138;1847;0;5068;540;86;113;431;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;06:30;52264;54300;52500;199;40;4116;41315;4590;0;6530;-114;805;-5217;41;1206;2590;-2933;-2337;-3564;0;21;180;0;2140;1977;0;5115;808;607;115;432;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;06:45;53764;55950;53950;203;39;4404;41556;4645;0;7079;-77;800;-4885;42;;;;;;2;21;180;0;2161;2245;0;5300;1093;686;113;429;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;07:00;55235;57600;55400;202;39;4477;41342;4672;0;7852;-22;782;-4109;42;473;2400;-2864;-1790;-1564;1;21;180;0;2165;2313;0;5462;1183;1207;111;423;257;ND;ND;ND;ND;ND
France;Données temps réel;03/01/2023;07:15;56431;59250;56650;203;40;4848;41411;4852;0;8082;-22;797;-3780;44;;;;;;2;21;180;0;2202;2648;0;5655;1168;1259;110;430;257;ND;ND;ND;ND;ND
