Périmètre;Nature;Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2;Ech. comm. Angleterre;Ech. comm. Espagne;Ech. comm. Italie;Ech. comm. Suisse;Ech. comm. Allemagne-Belgique;Fioul - TAC;Fioul - Cogén.;Fioul - Autres;Gaz - TAC;Gaz - Cogén.;Gaz - CCG;Gaz - Autres;Hydraulique - Fil de l?eau + éclusée;Hydraulique - Lacs;Hydraulique - STEP turbinage;Bioénergies - Déchets;Bioénergies - Biomasse;Bioénergies - Biogaz; Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;Consommation corrigée
France;Données temps réel;09/01/2023;00:00;50912;51200;51400;202;54;2552;40546;12705;0;4916;-1464;680;-9279;27;-2338;2600;-2511;-3700;-3882;0;22;180;0;2025;528;0;4417;498;1;127;301;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;00:15;50924;50550;50600;203;55;2666;40806;12949;0;4849;-2348;685;-8941;28;;;;;;1;22;180;0;2012;655;0;4409;438;2;125;297;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;00:30;49660;49900;49800;202;54;2569;40237;13294;0;4770;-2346;680;-9800;28;-2338;2600;-2511;-3700;-3735;0;22;180;0;1987;583;0;4346;422;2;127;302;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;00:45;48443;49200;48950;202;54;2444;39490;13531;0;4760;-2727;689;-10000;27;;;;;;0;22;180;0;1977;469;0;4301;458;1;130;301;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;01:00;48224;48500;48100;203;54;2493;39729;13498;0;4833;-3199;695;-10082;28;-2235;2600;-2383;-3627;-5312;1;22;180;0;1979;516;0;4318;515;0;134;302;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;01:15;48788;48800;48650;204;55;2617;40342;13597;0;4829;-3269;698;-10285;28;;;;;;2;22;180;0;1978;640;0;4308;521;0;130;306;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;01:30;48499;49100;49200;203;54;2588;39905;13756;0;4846;-3273;689;-10269;28;-2235;2600;-2383;-3627;-5237;1;22;180;0;1980;609;0;4277;569;0;132;305;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;01:45;48894;49100;49300;202;53;2689;39826;13680;0;4950;-3274;689;-9921;29;;;;;;0;22;180;0;1981;710;0;4296;654;0;130;304;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;02:00;48556;49100;49400;204;54;2606;39482;13544;0;4871;-3264;691;-9632;29;-2564;2600;-1924;-3655;-4649;2;22;180;0;1980;628;0;4267;604;0;131;303;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;02:15;49091;48550;48900;203;54;2787;39528;13673;0;4888;-3126;692;-9608;30;;;;;;1;22;180;0;2015;773;0;4292;596;0;131;304;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;02:30;48243;48000;48400;203;53;2699;39125;13641;0;4862;-3468;685;-9557;29;-2564;2600;-1924;-3655;-4745;1;22;180;0;2015;685;0;4268;594;0;130;304;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;02:45;47791;47250;47900;202;53;2648;38901;13948;0;4852;-3488;690;-10015;29;;;;;;0;22;180;0;2018;631;0;4248;604;0;133;304;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;03:00;47267;46500;47400;202;55;2596;38761;14073;0;4819;-3502;691;-10428;29;-2530;2600;-2344;-3680;-4572;0;22;180;0;2016;581;0;4222;597;0;134;302;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;03:15;46851;46100;47000;203;53;2696;38273;14097;0;4791;-3576;692;-10378;30;;;;;;1;22;180;0;2012;685;0;4266;525;0;129;304;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;03:30;46372;45700;46600;203;54;2641;37405;14149;0;4762;-3571;687;-9958;30;-2530;2600;-2344;-3680;-4862;1;22;180;0;2008;634;0;4250;512;0;130;302;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;03:45;45843;45300;46200;203;55;2636;37115;13997;0;4698;-3576;685;-9970;30;;;;;;1;22;180;0;2006;631;0;4201;497;0;130;302;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;04:00;46062;44900;45800;202;55;2633;36775;14389;0;4662;-3579;681;-9756;30;-1677;2600;-2698;-3680;-4083;0;22;180;0;2003;632;0;4146;516;0;128;302;257;ND;ND;ND;ND;ND
France;Données temps réel;09/01/2023;04:15;45743;44900;45800;203;55;2431;36325;13954;0;4731;-3566;687;-9077;29;;;;;;1;22;180;0;1999;434;0;4208;523;0;128;301;257;ND;ND;ND;ND;ND
