Périmètre;Nature;Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2;Ech. comm. Angleterre;Ech. comm. Espagne;Ech. comm. Italie;Ech. comm. Suisse;Ech. comm. Allemagne-Belgique;Fioul - TAC;Fioul - Cogén.;Fioul - Autres;Gaz - TAC;Gaz - Cogén.;Gaz - CCG;Gaz - Autres;Hydraulique - Fil de l?eau + éclusée;Hydraulique - Lacs;Hydraulique - STEP turbinage;Bioénergies - Déchets;Bioénergies - Biomasse;Bioénergies - Biogaz; Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;Consommation corrigée
France;Données temps réel;08/01/2023;00:00;50779;51900;51000;204;41;2531;36620;11176;0;4404;-2953;695;-1939;31;2537;2913;-2959;-3700;-742;2;22;180;0;2012;520;0;3986;418;0;135;303;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;00:15;50837;50950;50250;204;42;2785;36373;11317;0;4279;-2823;695;-2035;33;;;;;;2;22;180;0;2009;777;0;3805;474;0;136;301;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;00:30;49232;50000;49500;203;41;2631;35057;11053;0;4267;-2876;680;-1824;33;2537;2913;-2959;-3700;-732;1;22;180;0;2010;623;0;3838;429;0;135;300;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;00:45;47935;48900;48450;204;41;2500;34254;11101;0;4259;-2991;694;-2127;32;;;;;;2;22;180;0;2010;491;0;3838;263;158;135;302;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;01:00;47243;47800;47400;204;41;2500;33719;11008;0;4290;-2836;702;-2385;33;2419;2913;-2959;-3700;-753;2;22;180;0;2011;490;0;3862;265;163;137;305;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;01:15;47820;47950;47900;203;40;2642;33939;11256;0;4044;-2632;692;-2364;33;;;;;;1;22;180;0;2011;632;0;3640;217;187;135;303;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;01:30;47261;48100;48400;204;41;2523;33921;11003;0;4041;-2658;694;-2508;33;2419;2913;-2959;-3700;-753;2;22;180;0;2011;513;0;3634;240;167;135;303;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;01:45;47567;48050;48200;203;41;2590;34008;11017;0;3944;-2644;700;-2292;33;;;;;;1;22;180;0;2010;582;0;3505;258;181;136;308;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;02:00;47102;48000;48000;204;41;2550;34068;10717;0;3896;-2636;700;-2438;33;2580;2913;-2959;-3700;-935;2;22;180;0;2011;540;0;3497;218;181;136;306;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;02:15;47759;47350;47350;204;41;2649;34333;10713;0;3602;-2716;694;-1761;34;;;;;;2;22;180;0;2013;637;0;3439;162;1;136;304;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;02:30;46487;46700;46700;203;41;2553;33604;10598;0;3577;-2720;690;-2059;34;2580;2913;-2959;-3700;-935;1;22;180;0;2014;540;0;3420;156;1;133;306;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;02:45;45821;45850;45900;204;41;2512;33642;10408;0;3603;-3284;701;-2006;34;;;;;;2;22;180;0;2013;500;0;3433;170;0;138;307;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;03:00;44920;45000;45100;204;41;2506;33474;10230;0;3578;-3279;695;-2529;34;3044;2894;-2835;-3700;-2542;2;22;180;0;2014;493;0;3392;186;0;138;301;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;03:15;44567;44550;44600;204;41;2554;33181;10361;0;3542;-3436;697;-2577;35;;;;;;2;22;180;0;2014;542;0;3343;199;0;136;303;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;03:30;43895;44100;44100;204;41;2553;32974;10350;0;3606;-3591;701;-2943;35;3044;2894;-2835;-3700;-2542;2;22;180;0;2014;540;0;3345;261;0;138;307;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;03:45;43186;43600;43600;204;40;2506;32774;10312;0;3627;-3588;696;-3385;35;;;;;;2;22;180;0;2013;495;0;3308;319;0;137;302;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;04:00;42960;43100;43100;204;41;2509;32521;10316;0;3616;-3588;696;-3355;35;2717;2909;-2835;-3697;-2676;2;22;180;0;2016;494;0;3278;338;0;135;304;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;04:15;42434;42900;42700;203;40;2409;32436;10239;0;3540;-3589;703;-3547;34;;;;;;1;22;180;0;2015;396;0;3259;281;0;138;308;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;04:30;42182;42700;42300;204;40;2332;32305;10155;0;3509;-3581;697;-3479;34;2717;2909;-2835;-3697;-2676;2;22;180;0;2015;318;0;3223;286;0;136;304;257;ND;ND;ND;ND;ND
France;Données temps réel;08/01/2023;04:45;41959;42500;42400;203;40;2344;32171;10027;0;3521;-3572;687;-3462;34;;;;;;1;22;180;0;2013;332;0;3223;298;0;132;302;257;ND;ND;ND;ND;ND
